date,value,unit,lat,lon,city,parameter
2024-11-04 13:00:00,57.4,μg/m³,45.4642,9.19,,pm25
2024-11-04 14:00:00,53.2,μg/m³,45.4642,9.19,,pm25
2024-11-04 15:00:00,48.2,μg/m³,45.4642,9.19,,pm25
2024-11-04 16:00:00,45.0,μg/m³,45.4642,9.19,,pm25
2024-11-04 17:00:00,45.3,μg/m³,45.4642,9.19,,pm25
2024-11-04 18:00:00,47.1,μg/m³,45.4642,9.19,,pm25
2024-11-04 19:00:00,47.9,μg/m³,45.4642,9.19,,pm25
2024-11-04 20:00:00,55.0,μg/m³,45.4642,9.19,,pm25
2024-11-04 21:00:00,64.0,μg/m³,45.4642,9.19,,pm25
2024-11-04 22:00:00,71.5,μg/m³,45.4642,9.19,,pm25
2024-11-04 23:00:00,75.9,μg/m³,45.4642,9.19,,pm25
2024-11-05 00:00:00,80.2,μg/m³,45.4642,9.19,,pm25
2024-11-05 01:00:00,81.9,μg/m³,45.4642,9.19,,pm25
2024-11-05 02:00:00,82.2,μg/m³,45.4642,9.19,,pm25
2024-11-05 03:00:00,82.7,μg/m³,45.4642,9.19,,pm25
2024-11-05 04:00:00,80.0,μg/m³,45.4642,9.19,,pm25
2024-11-05 05:00:00,76.8,μg/m³,45.4642,9.19,,pm25
2024-11-05 06:00:00,77.1,μg/m³,45.4642,9.19,,pm25
2024-11-05 07:00:00,78.0,μg/m³,45.4642,9.19,,pm25
2024-11-05 08:00:00,75.3,μg/m³,45.4642,9.19,,pm25
2024-11-05 09:00:00,73.5,μg/m³,45.4642,9.19,,pm25
2024-11-05 10:00:00,70.4,μg/m³,45.4642,9.19,,pm25
2024-11-05 11:00:00,73.2,μg/m³,45.4642,9.19,,pm25
2024-11-05 12:00:00,71.7,μg/m³,45.4642,9.19,,pm25
2024-11-05 13:00:00,72.1,μg/m³,45.4642,9.19,,pm25
2024-11-05 14:00:00,73.5,μg/m³,45.4642,9.19,,pm25
2024-11-05 15:00:00,72.3,μg/m³,45.4642,9.19,,pm25
2024-11-05 16:00:00,66.3,μg/m³,45.4642,9.19,,pm25
2024-11-05 17:00:00,64.4,μg/m³,45.4642,9.19,,pm25
2024-11-05 18:00:00,63.9,μg/m³,45.4642,9.19,,pm25
2024-11-05 19:00:00,66.0,μg/m³,45.4642,9.19,,pm25
2024-11-05 20:00:00,69.9,μg/m³,45.4642,9.19,,pm25
2024-11-05 21:00:00,73.7,μg/m³,45.4642,9.19,,pm25
2024-11-05 22:00:00,78.0,μg/m³,45.4642,9.19,,pm25
2024-11-05 23:00:00,82.5,μg/m³,45.4642,9.19,,pm25
2024-11-06 00:00:00,87.8,μg/m³,45.4642,9.19,,pm25
2024-11-06 01:00:00,86.8,μg/m³,45.4642,9.19,,pm25
2024-11-06 02:00:00,89.4,μg/m³,45.4642,9.19,,pm25
2024-11-06 03:00:00,89.5,μg/m³,45.4642,9.19,,pm25
2024-11-06 04:00:00,89.4,μg/m³,45.4642,9.19,,pm25
2024-11-06 05:00:00,88.9,μg/m³,45.4642,9.19,,pm25
2024-11-06 06:00:00,87.7,μg/m³,45.4642,9.19,,pm25
2024-11-06 07:00:00,88.2,μg/m³,45.4642,9.19,,pm25
2024-11-06 08:00:00,90.0,μg/m³,45.4642,9.19,,pm25
2024-11-06 09:00:00,92.9,μg/m³,45.4642,9.19,,pm25
2024-11-06 10:00:00,90.4,μg/m³,45.4642,9.19,,pm25
2024-11-06 11:00:00,89.3,μg/m³,45.4642,9.19,,pm25
